"Gene_symbol"	"Entrez_ID"	"Value_count"	"hgnc_symbol"	"ensembl_gene_id"	"chromosome_name"
"82"	"GMPPB"	29925	533	"GMPPB"	"ENSG00000173540"	"3"
"83"	"SERPINC1"	462	532	"SERPINC1"	"ENSG00000117601"	"1"
"84"	"CTSS"	1520	529	"CTSS"	"ENSG00000163131"	"1"
"85"	"CST1"	1469	527	"CST1"	"ENSG00000170373"	"20"
"86"	"ARHGEF35"	445328	527	"ARHGEF35"	"ENSG00000213214"	"7"
"87"	"SENP7"	57337	524	"SENP7"	"ENSG00000138468"	"3"
"88"	"HIBCH"	26275	523	"HIBCH"	"ENSG00000198130"	"2"
"89"	"STON1-GTF2A1L"	286749	523	"STON1-GTF2A1L"	"ENSG00000068781"	"2"
"90"	"PPIL3"	53938	521	"PPIL3"	"ENSG00000240344"	"2"
"91"	"AMTN"	401138	520	"AMTN"	"ENSG00000187689"	"4"
"92"	"PIGN"	23556	519	"PIGN"	"ENSG00000197563"	"18"
"93"	"C9orf130"	100128782	507	"LINC00476"	"ENSG00000175611"	"9"
"94"	"EME2"	197342	503	"EME2"	"ENSG00000197774"	"16"
"95"	"LOC253039"	253039	500	"CUTALP"	"ENSG00000226752"	"9"
"96"	"RPL23AP7"	118433	498	NA	NA	NA
"97"	"IQCB1"	9657	498	"IQCB1"	"ENSG00000173226"	"3"
"98"	"CCDC30"	728621	494	"CCDC30"	"ENSG00000186409"	"1"
"99"	"PPIP5K2"	23262	492	"PPIP5K2"	"ENSG00000145725"	"5"
"100"	"UGT2B4"	7363	486	"UGT2B4"	"ENSG00000156096"	"4"
"101"	"ACSM1"	116285	486	"ACSM1"	"ENSG00000166743"	"16"
"102"	"GBP3"	2635	485	"GBP3"	"ENSG00000117226"	"1"
"103"	"PFN4"	375189	485	"PFN4"	"ENSG00000176732"	"2"
"104"	"PPAP2A"	8611	484	"PLPP1"	"ENSG00000067113"	"5"
"105"	"WARS2"	10352	484	"WARS2"	"ENSG00000116874"	"1"
"106"	"ZNF391"	346157	480	"ZNF391"	"ENSG00000124613"	"6"
"107"	"LIN52"	91750	478	"LIN52"	"ENSG00000205659"	"14"
"108"	"MUC7"	4589	476	"MUC7"	"ENSG00000171195"	"4"
"109"	"METTL2B"	55798	474	"METTL2B"	"ENSG00000165055"	"7"
"110"	"BTN2A3"	54718	473	"BTN2A3P"	"ENSG00000124549"	"6"
"111"	"CCBL2"	56267	472	"KYAT3"	"ENSG00000137944"	"1"
"112"	"LOC441294"	441294	470	"CTAGE15"	"ENSG00000271079"	"7"
"113"	"FLJ37201"	283011	466	NA	NA	NA
"114"	"CNGA1"	1259	465	"CNGA1"	"ENSG00000198515"	"4"
"115"	"DDX11"	1663	464	"DDX11"	"ENSG00000013573"	"12"
"116"	"PTGR2"	145482	464	"PTGR2"	"ENSG00000140043"	"14"
"117"	"FAM55C"	91775	463	"NXPE3"	"ENSG00000144815"	"3"
"118"	"MYLK2"	85366	459	"MYLK2"	"ENSG00000101306"	"20"
"119"	"FGD4"	121512	457	"FGD4"	"ENSG00000139132"	"12"
"120"	"MSH6"	2956	456	"MSH6"	"ENSG00000116062"	"2"
"121"	"FCHO2"	115548	455	"FCHO2"	"ENSG00000157107"	"5"
"122"	"BEND6"	221336	455	"BEND6"	"ENSG00000151917"	"6"
"123"	"NAAA"	27163	454	"NAAA"	"ENSG00000138744"	"4"
"124"	"SFXN2"	118980	450	"SFXN2"	"ENSG00000156398"	"10"
"125"	"ZNF429"	353088	449	"ZNF429"	"ENSG00000197013"	"19"
"126"	"LOC100125556"	100125556	447	"FAM86JP"	"ENSG00000171084"	"3"
"127"	"STAP1"	26228	441	"STAP1"	"ENSG00000035720"	"4"
"128"	"PHOSPHO2"	493911	440	"PHOSPHO2"	"ENSG00000144362"	"2"
"129"	"NSUN6"	221078	438	"NSUN6"	"ENSG00000241058"	"10"
"130"	"L1TD1"	54596	438	"L1TD1"	"ENSG00000240563"	"1"
"131"	"WDR6"	11180	437	"WDR6"	"ENSG00000178252"	"3"
"132"	"SCAPER"	49855	436	"SCAPER"	"ENSG00000140386"	"15"
"133"	"ENTPD1"	953	433	"ENTPD1"	"ENSG00000138185"	"10"
"134"	"NME7"	29922	431	"NME7"	"ENSG00000143156"	"1"
"135"	"SMR3B"	10879	430	"SMR3B"	"ENSG00000171201"	"4"
"136"	"UHRF1BP1"	54887	424	"UHRF1BP1"	"ENSG00000065060"	"6"
"137"	"SUPT3H"	8464	424	"SUPT3H"	"ENSG00000196284"	"6"
"138"	"GOLGA6L9"	440295	424	"GOLGA6L9"	"ENSG00000197978"	"15"
"139"	"TREX1"	11277	423	"TREX1"	"ENSG00000213689"	"3"
"140"	"CCDC91"	55297	422	"CCDC91"	"ENSG00000123106"	"12"
"141"	"CCDC36"	339834	421	"IHO1"	"ENSG00000173421"	"3"
"142"	"RPL9"	6133	420	"RPL9"	"ENSG00000163682"	"4"
"143"	"FBN2"	2201	420	"FBN2"	"ENSG00000138829"	"5"
"144"	"MLF1IP"	79682	419	"CENPU"	"ENSG00000151725"	"4"
"145"	"HAPLN4"	404037	419	"HAPLN4"	"ENSG00000187664"	"19"
"146"	"ZNF568"	374900	418	"ZNF568"	"ENSG00000198453"	"19"
"147"	"ITIH4"	3700	416	"ITIH4"	"ENSG00000055955"	"3"
"148"	"ZFAND2A"	90637	416	"ZFAND2A"	"ENSG00000178381"	"7"
"149"	"ZNF589"	51385	414	"ZNF589"	"ENSG00000164048"	"3"
"150"	"MS4A4A"	51338	414	"MS4A4A"	"ENSG00000110079"	"11"
"151"	"DIRC1"	116093	413	NA	NA	NA
"152"	"CST2"	1470	409	"CST2"	"ENSG00000170369"	"20"
"153"	"HMGN1"	3150	409	"HMGN1"	"ENSG00000205581"	"21"
"154"	"ZNF155"	7711	409	"ZNF155"	"ENSG00000204920"	"19"
"155"	"AS3MT"	57412	407	"AS3MT"	"ENSG00000214435"	"10"
"156"	"TYW1B"	441250	405	"TYW1B"	"ENSG00000277149"	"7"
"157"	"ST7L"	54879	402	"ST7L"	"ENSG00000007341"	"1"
"158"	"UGT2B7"	7364	400	"UGT2B7"	"ENSG00000171234"	"4"
"159"	"C15orf57"	90416	400	"CCDC32"	"ENSG00000128891"	"15"
"160"	"SOHLH2"	54937	399	"SOHLH2"	"ENSG00000120669"	"13"
"161"	"NHEDC1"	150159	398	"SLC9B1"	"ENSG00000164037"	"4"
"162"	"PDHB"	5162	397	"PDHB"	"ENSG00000168291"	"3"
"163"	"LOC642846"	642846	397	NA	NA	NA
"164"	"SH3YL1"	26751	396	"SH3YL1"	"ENSG00000035115"	"2"
"165"	"BTN2A2"	10385	394	"BTN2A2"	"ENSG00000124508"	"6"
"166"	"TMEM165"	55858	394	"TMEM165"	"ENSG00000134851"	"4"
"167"	"PSMG1"	8624	391	"PSMG1"	"ENSG00000183527"	"21"
"168"	"SLC22A5"	6584	391	"SLC22A5"	"ENSG00000197375"	"5"
"169"	"ZNF772"	400720	390	"ZNF772"	"ENSG00000197128"	"19"
"170"	"HORMAD1"	84072	390	"HORMAD1"	"ENSG00000143452"	"1"
"171"	"ZNF502"	91392	390	"ZNF502"	"ENSG00000196653"	"3"
