"Gene_symbol"	"Entrez_ID"	"Value_count"	"ensembl_gene_id"	"entrezgene_id"	"chromosome_name"
"95"	"PIGN"	23556	519	"ENSG00000197563"	23556	"18"
"96"	"C9orf130"	100128782	507	NA	NA	NA
"97"	"EME2"	197342	503	"ENSG00000197774"	197342	"16"
"98"	"LOC253039"	253039	500	NA	NA	NA
"99"	"RPL23AP7"	118433	498	"ENSG00000240356"	NA	"2"
"100"	"IQCB1"	9657	498	"ENSG00000173226"	9657	"3"
"101"	"CCDC30"	728621	494	"ENSG00000186409"	728621	"1"
"102"	"PPIP5K2"	23262	492	"ENSG00000145725"	23262	"5"
"103"	"UGT2B4"	7363	486	"ENSG00000156096"	7363	"4"
"104"	"ACSM1"	116285	486	"ENSG00000166743"	116285	"16"
"105"	"GBP3"	2635	485	"ENSG00000117226"	2635	"1"
"106"	"PFN4"	375189	485	"ENSG00000176732"	375189	"2"
"107"	"PPAP2A"	8611	484	NA	NA	NA
"108"	"WARS2"	10352	484	"ENSG00000116874"	10352	"1"
"109"	"ZNF391"	346157	480	"ENSG00000124613"	346157	"6"
"110"	"LIN52"	91750	478	"ENSG00000205659"	91750	"14"
"111"	"MUC7"	4589	476	"ENSG00000171195"	4589	"4"
"112"	"METTL2B"	55798	474	"ENSG00000165055"	55798	"7"
"113"	"BTN2A3"	54718	473	NA	NA	NA
"114"	"CCBL2"	56267	472	NA	NA	NA
"115"	"LOC441294"	441294	470	NA	NA	NA
"116"	"FLJ37201"	283011	466	NA	NA	NA
"117"	"CNGA1"	1259	465	"ENSG00000198515"	1259	"4"
"118"	"DDX11"	1663	464	"ENSG00000013573"	1663	"12"
"119"	"PTGR2"	145482	464	"ENSG00000140043"	145482	"14"
"120"	"FAM55C"	91775	463	NA	NA	NA
"121"	"MYLK2"	85366	459	"ENSG00000101306"	85366	"20"
"122"	"FGD4"	121512	457	"ENSG00000139132"	121512	"12"
"123"	"MSH6"	2956	456	"ENSG00000116062"	2956	"2"
"124"	"FCHO2"	115548	455	"ENSG00000157107"	115548	"5"
"125"	"BEND6"	221336	455	"ENSG00000151917"	221336	"6"
"126"	"NAAA"	27163	454	"ENSG00000138744"	27163	"4"
"127"	"SFXN2"	118980	450	"ENSG00000156398"	118980	"10"
"128"	"ZNF429"	353088	449	"ENSG00000197013"	353088	"19"
"129"	"LOC100125556"	100125556	447	NA	NA	NA
"130"	"STAP1"	26228	441	"ENSG00000035720"	26228	"4"
"131"	"PHOSPHO2"	493911	440	"ENSG00000144362"	493911	"2"
"132"	"NSUN6"	221078	438	"ENSG00000241058"	221078	"10"
"133"	"L1TD1"	54596	438	"ENSG00000240563"	54596	"1"
"134"	"WDR6"	11180	437	"ENSG00000178252"	11180	"3"
"135"	"SCAPER"	49855	436	"ENSG00000140386"	49855	"15"
"136"	"ENTPD1"	953	433	"ENSG00000138185"	953	"10"
"137"	"NME7"	29922	431	"ENSG00000143156"	29922	"1"
"138"	"SMR3B"	10879	430	"ENSG00000171201"	10879	"4"
"139"	"UHRF1BP1"	54887	424	"ENSG00000065060"	54887	"6"
"140"	"SUPT3H"	8464	424	"ENSG00000196284"	8464	"6"
"141"	"GOLGA6L9"	440295	424	"ENSG00000197978"	440295	"15"
"142"	"TREX1"	11277	423	"ENSG00000213689"	11277	"3"
"143"	"CCDC91"	55297	422	"ENSG00000123106"	55297	"12"
"144"	"CCDC36"	339834	421	NA	NA	NA
"145"	"RPL9"	6133	420	"ENSG00000163682"	6133	"4"
"146"	"FBN2"	2201	420	"ENSG00000138829"	2201	"5"
"147"	"MLF1IP"	79682	419	NA	NA	NA
"148"	"HAPLN4"	404037	419	"ENSG00000187664"	404037	"19"
"149"	"ZNF568"	374900	418	"ENSG00000198453"	374900	"19"
"150"	"ITIH4"	3700	416	"ENSG00000055955"	3700	"3"
"151"	"ZFAND2A"	90637	416	"ENSG00000178381"	90637	"7"
"152"	"ZNF589"	51385	414	"ENSG00000164048"	51385	"3"
"153"	"MS4A4A"	51338	414	"ENSG00000110079"	51338	"11"
"154"	"DIRC1"	116093	413	"ENSG00000174325"	NA	"2"
"155"	"CST2"	1470	409	"ENSG00000170369"	1470	"20"
"156"	"HMGN1"	3150	409	"ENSG00000205581"	3150	"21"
"157"	"ZNF155"	7711	409	"ENSG00000204920"	7711	"19"
"158"	"AS3MT"	57412	407	"ENSG00000214435"	57412	"10"
"159"	"TYW1B"	441250	405	"ENSG00000277149"	441250	"7"
"160"	"ST7L"	54879	402	"ENSG00000007341"	54879	"1"
"161"	"UGT2B7"	7364	400	"ENSG00000171234"	7364	"4"
"162"	"C15orf57"	90416	400	NA	NA	NA
"163"	"SOHLH2"	54937	399	"ENSG00000120669"	54937	"13"
"164"	"NHEDC1"	150159	398	NA	NA	NA
"165"	"PDHB"	5162	397	"ENSG00000168291"	5162	"3"
"166"	"LOC642846"	642846	397	NA	NA	NA
"167"	"SH3YL1"	26751	396	"ENSG00000035115"	26751	"2"
"168"	"BTN2A2"	10385	394	"ENSG00000124508"	10385	"6"
"169"	"TMEM165"	55858	394	"ENSG00000134851"	55858	"4"
"170"	"PSMG1"	8624	391	"ENSG00000183527"	8624	"21"
"171"	"SLC22A5"	6584	391	"ENSG00000197375"	6584	"5"
"172"	"ZNF772"	400720	390	"ENSG00000197128"	400720	"19"
"173"	"HORMAD1"	84072	390	"ENSG00000143452"	84072	"1"
"174"	"ZNF502"	91392	390	"ENSG00000196653"	91392	"3"
"175"	"CCDC73"	493860	389	"ENSG00000186714"	493860	"11"
"176"	"RWDD2B"	10069	388	"ENSG00000156253"	10069	"21"
"177"	"MYO1H"	283446	386	"ENSG00000174527"	283446	"12"
"178"	"LOC550112"	550112	386	NA	NA	NA
"179"	"MMP24"	10893	384	"ENSG00000125966"	10893	"20"
"180"	"SPRR1A"	6698	383	"ENSG00000169474"	6698	"1"
"181"	"C10orf107"	219621	383	NA	NA	NA
"182"	"ZNF607"	84775	383	"ENSG00000198182"	84775	"19"
"183"	"ZMAT2"	153527	380	"ENSG00000146007"	153527	"5"
"184"	"SPDYE2"	441273	380	"ENSG00000205238"	441273	"7"
"185"	"ZNF773"	374928	377	"ENSG00000152439"	374928	"19"
"186"	"WDR55"	54853	377	"ENSG00000120314"	54853	"5"
"187"	"CASP9"	842	377	"ENSG00000132906"	842	"1"
"188"	"POU4F3"	5459	376	"ENSG00000091010"	5459	"5"
"189"	"TCTEX1D1"	200132	375	NA	NA	NA
"190"	"GNRHR"	2798	375	"ENSG00000109163"	2798	"4"
"191"	"PDLIM4"	8572	372	"ENSG00000131435"	8572	"5"
"192"	"C1orf156"	92342	371	NA	NA	NA
"193"	"LCLAT1"	253558	367	"ENSG00000172954"	253558	"2"
"194"	"HSD17B12"	51144	366	"ENSG00000149084"	51144	"11"
"195"	"LQK1"	642946	365	NA	NA	NA
"196"	"ZNF419"	79744	363	"ENSG00000105136"	79744	"19"
"197"	"SPCS1"	28972	355	"ENSG00000114902"	28972	"3"
"198"	"HELLS"	3070	353	"ENSG00000119969"	3070	"10"
"199"	"C6orf162"	57150	353	NA	NA	NA
"200"	"TIMM10"	26519	353	"ENSG00000134809"	26519	"11"
"201"	"SEC31B"	25956	352	"ENSG00000075826"	25956	"10"
"202"	"SLC7A9"	11136	352	"ENSG00000021488"	11136	"19"
"203"	"LOC80154"	80154	346	NA	NA	NA
"204"	"WDR60"	55112	345	NA	NA	NA
"205"	"FCRL3"	115352	344	"ENSG00000160856"	115352	"1"
"206"	"MADD"	8567	341	"ENSG00000110514"	8567	"11"
"207"	"ANAPC13"	25847	341	"ENSG00000129055"	25847	"3"
"208"	"PCDHA10"	56139	337	"ENSG00000250120"	56139	"5"
"209"	"TDRD5"	163589	336	"ENSG00000162782"	163589	"1"
"210"	"UBQLNL"	143630	336	"ENSG00000175518"	143630	"11"
"211"	"RSRC1"	51319	334	"ENSG00000174891"	51319	"3"
"212"	"LOC100134868"	100134868	334	NA	NA	NA
"213"	"VN1R1"	57191	334	"ENSG00000178201"	57191	"19"
"214"	"ZNF187"	7741	333	NA	NA	NA
"215"	"APIP"	51074	332	"ENSG00000149089"	51074	"11"
"216"	"NSUN4"	387338	330	"ENSG00000117481"	387338	"1"
"217"	"CCDC53"	51019	330	NA	NA	NA
"218"	"VWDE"	221806	328	"ENSG00000146530"	221806	"7"
"219"	"IQCH"	64799	327	"ENSG00000103599"	64799	"15"
"220"	"PIGP"	51227	327	"ENSG00000185808"	51227	"21"
"221"	"ZNF593"	51042	324	"ENSG00000142684"	51042	"1"
"222"	"GNG10"	2790	324	"ENSG00000242616"	2790	"9"
"223"	"NUDT13"	25961	324	"ENSG00000166321"	25961	"10"
"224"	"MCM3AP"	8888	324	"ENSG00000160294"	8888	"21"
