Gene_symbol	TANK	RBCK1	CASC4	DUT	TMEM201	FBLN2	ABLIM3	MPRIP	MCF2L	EHBP1	COMMD5	GSN	GSPT1	PRMT2	INHBA	INSR	ISLR	LSP1	ATXN3	MYL6	SERPINA1	PPP2R1B	TMEM126B	ENY2	BMP1	SNRNP70	SOX15	DST	C12orf73	ZNF207	ADAMTS12	PCGF5	REPS1	CCND3	LRRFIP2	ZRANB2	H2AFV	CEP104	SLK	Cancer
Gene_ensembl_id	ENSG00000136560	ENSG00000125826	ENSG00000166734	ENSG00000128951	ENSG00000188807	ENSG00000163520	ENSG00000173210	ENSG00000133030	ENSG00000126217	ENSG00000115504	ENSG00000170619	ENSG00000148180	ENSG00000103342	ENSG00000160310	ENSG00000122641	ENSG00000171105	ENSG00000129009	ENSG00000130592	ENSG00000066427	ENSG00000092841	ENSG00000197249	ENSG00000137713	ENSG00000171204	ENSG00000120533	ENSG00000168487	ENSG00000104852	ENSG00000129194	ENSG00000151914	ENSG00000204954	ENSG00000010244	ENSG00000151388	ENSG00000180628	ENSG00000135597	ENSG00000112576	ENSG00000093167	ENSG00000132485	ENSG00000105968	ENSG00000116198	ENSG00000065613	Cancer
TCGA-BH-A1FN	15.3439196388	16.8966243202	16.7516465978	9.05390952767	3.46905398985	18.9690592113	2.1820012532	6.68239713102	1.91861680461	7.22580032787	5.7751062112	15.8180764459	40.6019461801	15.5498688931	17.8717776094	8.58531608356	44.1236726381	3.54985848047	1.36875499302	143.342241533	14.081599202	6.05932099708	13.0691063116	8.86179223606	5.76976339561	15.2081753962	0.0730738808489	2.37559166862	1.92042690585	14.2419147775	7.85875585037	4.87520146877	13.6343182942	9.727430785	4.22963348226	25.0292574726	31.0338694016	6.46817408781	35.2394199221	1
TCGA-E9-A1NG	8.20481849006	15.7241694594	30.8313241336	9.54038671696	1.4581585233	41.8265032542	7.08770920053	9.31666342879	1.61483692167	7.24386776261	7.9206166247	68.3287003252	29.7412290807	6.6581715991	57.1418662399	10.9202474785	133.189989974	16.5253751523	0.872434053253	192.922281769	20.5789431245	3.44011847016	11.2731250889	7.02000912391	10.2973451061	21.5732335022	0.597676681191	6.19141192768	1.44918669301	8.38355836113	13.0753426986	7.00641605683	4.29582671098	10.8602049983	6.4563352074	11.0361099219	25.7718192121	5.20550241234	15.3734299996	1
TCGA-AC-A23H	10.8393751617	17.7252198705	17.9084705484	10.9239480139	2.47615972812	19.7446759846	5.26614695899	4.9933410634	1.90533454552	4.65069467313	12.4768025336	49.8029929017	32.2809651751	8.28747926292	28.1556464143	7.10098533395	67.6882553649	3.706814817	0.795155033277	192.769722131	4.0854024935	6.56521337587	10.8465909517	8.07835719857	4.29292443508	18.1146480014	0.175857574718	3.35499569051	2.02197017862	10.1619417278	8.01515589564	3.40947948663	4.39430937045	8.86740603641	5.22694345153	13.2811634468	34.0157985146	6.83512686929	11.7129359829	1
TCGA-A7-A0DC	10.5364490139	11.0073883399	24.786509684	5.05332186341	2.50704427644	7.4073842523	4.79621900834	19.5901903157	7.05901142701	6.80351385787	9.63207729208	16.5556723944	47.6847632189	11.1678863723	10.5546110015	61.375248233	12.7055373165	2.84693195894	3.77019325981	40.1862251298	2.10162154271	3.42683521087	2.75914581287	9.10479155379	5.37569974806	98.2453053816	2.35954089454	18.674185012	4.07493553134	18.0298859673	6.75546677089	4.53017510183	11.3143972002	6.2099232947	16.7128067344	17.9409397249	25.324319148	7.06483264014	21.7423620624	1
TCGA-BH-A0BA	6.76261133327	21.374576149	14.3552768729	12.0264617698	1.57365057388	34.7128483693	6.11069130139	8.40703145457	2.75172627623	4.61846963268	8.41594639301	58.464749695	53.0479145418	7.35050184971	8.09888372674	26.5178116773	26.6035967584	8.17082214538	1.45478570188	163.93263126	7.45413429733	6.48015692392	9.83809853328	7.42153728352	2.22941108075	37.0474624587	0.598554919239	10.4546365244	2.47506206766	10.1001206569	3.7823292029	5.62292423626	4.90462856617	13.9989743748	5.87265290674	17.2263758108	40.761042704	5.29480805836	20.291639407	1
TCGA-A7-A0CE	5.69101276915	13.1399768526	14.8199869996	18.0789902625	5.79379539043	14.310000525	0.670418608432	11.2279633217	4.69467873925	4.66337978321	6.50821762504	30.6798584514	25.6864759822	13.5666386347	2.65742512173	16.1169601079	25.2072125789	3.82595929803	1.14132552468	217.598462046	5.60360845207	4.42478051584	9.52638292946	10.580272327	8.44310578892	30.1860244629	3.57926855082	5.80778173095	2.82119479377	9.73878383528	1.18090951891	5.79591475571	8.0696486207	11.2084760783	4.28353815362	13.2436077962	34.9055509797	5.33665085418	12.9346809055	1
TCGA-A7-A0DB	9.99012744562	12.8924070527	29.697339478	11.0761626819	0.96066817838	44.0982115735	4.66643689133	8.34818714078	2.66795118786	6.9169311077	7.65806713673	59.3211104817	33.535983685	11.5428134251	17.6468607637	19.2157850339	25.0543411853	13.8173788939	2.77175743084	131.200516311	3.90695802771	9.41301647054	10.5650891655	4.74031202753	4.21420626819	23.0156207118	0.289509605477	18.4013112066	1.18368043408	12.3651146346	8.42457682533	9.95212049371	6.51804511862	4.37192722243	7.51760369639	18.7575278775	31.9405480508	4.61654972273	21.0166997602	1
TCGA-BH-A0BC	6.65049848413	21.763257661	25.6801008694	17.8570398287	4.07751510685	29.2118907122	3.65743207534	5.4127178516	1.96452512239	4.2856516129	9.547036219	54.018787111	23.9453421912	8.83045465346	11.422954101	13.8288838472	72.1740249112	27.1381600586	0.930930281383	213.353628395	35.3296433588	2.49369502371	8.70990970937	7.2121954396	6.1097146944	25.8002927204	0.129348544392	4.46279663366	2.29935062417	8.216685455	3.13640266984	9.44658057143	5.40915313773	10.6916807972	4.39674205056	11.0980688404	42.4069395393	4.83564296577	12.2396042751	1
TCGA-BH-A1FB	16.4111223176	15.2817437747	26.6319407497	11.4871449396	1.91080022363	47.0445446678	6.75382248035	10.8377171843	2.13932672135	5.31635467451	8.4047498543	54.1439533853	43.1537545669	12.8566176906	10.915998487	9.82490147879	72.7470557655	15.1537513114	1.61064502024	113.961247178	64.5684090116	6.23884133449	11.3821823047	8.63640410015	5.08373790524	21.8024192728	0.596948243722	12.5073491283	2.0843729141	10.1202041344	5.80719452191	11.8620960657	4.79884286616	13.0057651926	6.39537730407	20.3721879832	34.1798378564	6.68046403823	20.0258087262	1
