Gene_symbol	CTTN	FBLN2	FLNA	ARHGEF9	SLC39A14	ATP6V1C2	ISLR	MYH11	SRI	UGP2	IL1R2	HKDC1	CD44	Cancer
Gene_ensembl_id	ENSG00000085733	ENSG00000163520	ENSG00000196924	ENSG00000131089	ENSG00000104635	ENSG00000143882	ENSG00000129009	ENSG00000133392	ENSG00000075142	ENSG00000169764	ENSG00000115590	ENSG00000156510	ENSG00000026508	Cancer
Sample_ID														
TCGA-AA-3867-01A-01R-1022-07	43.4199410139	17.9697296703	98.5069916121	2.11626012933	22.9183388843	2.3749793779400004	69.8114829286	24.526325665	44.8413146765	15.5093064405	1.72977020648	12.7526856989	49.4373364684	1
TCGA-CA-6719-01A-11R-1839-07	31.0082853092	5.07514088982	153.793368794	2.7248551453600003	16.831717350999998	1.54247356003	42.5168799275	60.8577614496	38.1711383018	13.800729241500001	1.09767202321	18.532899596	26.1815438698	1
TCGA-NH-A50V-01A-11R-A28H-07	49.97159659689999	7.46364012398	48.447111390399996	2.98226430787	12.8250329199	1.67440478691	51.739143348199995	5.6645246137199985	24.6585490419	16.107687743499998	0.570911882735	4.204532518	43.5856518208	1
TCGA-AA-A01C-01A-01R-A00A-07	43.526294153100004	11.790653258599999	150.463580787	2.7730464615599995	20.000357593900002	4.851438230249999	58.31348036479999	15.126343390699999	43.792638225	11.142594658699998	0.479972518632	20.432584511800002	25.3036688394	1
TCGA-AA-A02F-01A-01R-A089-07	23.3955129279	2.26662879617	75.3490621463	2.2612902642900004	20.6543954141	2.60531843702	10.410285893300001	6.82404039885	27.200675170700002	13.780305068499999	0.82258597228	19.322411651	57.488869854799994	1
TCGA-AA-A03F-01A-11R-A16W-07	70.4485461209	3.22806895829	34.4021309098	2.7073353947099994	12.901202887	0.8518717627399999	8.69311054386	3.76924698946	15.0846702457	6.70147364244	2.8696645399	31.7421254248	22.4682723277	1
TCGA-AA-A00O-01A-02R-A089-07	35.4435309511	8.20584132786	57.6307685237	2.77908566314	38.7951507024	2.51083394027	32.7923081808	13.9024863882	20.3862962656	15.7722196858	1.4747719712099998	28.6251690303	11.091715862300001	1
TCGA-AZ-4615-01A-01R-1410-07	30.1538905171	8.96044324893	64.2303760744	2.13991646213	59.0615746699	0.524930519787	27.509687137800004	2.3037666905000003	17.8637105984	20.8530581947	4.74433786717	15.6410478415	46.933127658000004	1
TCGA-AA-3854-01A-01R-0905-07	44.858900769399995	1.30986066394	16.9587058468	2.2282084105	23.314893511799998	0.64316379171	5.29921993802	1.56884814296	114.54680496700001	18.3420048999	31.282369048699998	11.1038509817	56.347290178	1
TCGA-AA-A01V-01A-23R-A083-07	53.734019701099996	0.38560954467	20.7261968068	1.9622666635	27.2266644718	0.934708989481	1.45403064444	0.6790601065809999	15.1955105817	6.344963883309998	1.13743711883	24.4790313238	60.3927619314	1
TCGA-AA-A00D-01A-01R-A002-07	43.2925506129	14.3514607598	84.9363089776	2.7941026842000003	28.175836588499998	0.770668614112	21.659221585700003	2.06650771046	25.128807894	17.3623214206	1.754067346	24.2722161442	31.7601946048	1
TCGA-A6-5657-01A-01R-A32Z-07	44.0818469225	19.2312756744	269.980456015	4.37857166699	13.8955255748	1.79163256885	51.0806648525	72.8831389086	25.406477505799998	12.313546609500001	1.38021390425	25.571953320100004	41.8125086455	1
TCGA-AA-3522-01A-01R-0821-07	34.4921926102	1.84700208438	19.8123426352	3.63607805327	26.804371925300003	0.583120079678	7.840883355730001	1.81298982392	68.8433277326	30.1048542973	4.49216237645	14.4523509503	71.50773492430001	1
TCGA-AA-3877-01A-01R-1022-07	37.7114733398	5.9297511724800005	53.4046737481	2.55218007111	27.6343208985	0.85283013341	15.345760441900001	9.15567566535	24.1848749944	15.340493916500002	4.7787932273800005	19.9353848669	42.5676030758	1
TCGA-D5-6923-01A-11R-A32Z-07	50.9391586342	28.771500406100007	215.03234409200002	3.7935084858	27.377722241999997	2.37027520242	45.9877417693	6.43283500077	23.848929925100002	11.411976933399998	4.20105187078	38.1498863815	20.6472067835	1
TCGA-DM-A28A-01A-21R-A32Y-07	39.0914585352	8.28006922474	75.6281661238	3.92647344607	19.0247596227	1.7247900775	46.3265358886	2.64863021358	21.7571258277	15.6474656921	0.832169106869	30.4430586622	28.1487846044	1
TCGA-AA-3848-01A-01R-0905-07	34.643505011799995	6.7048665112400005	80.81943752939999	3.56280343286	9.42435212635	4.56280141027	24.9845407361	2.2636815620599995	22.779252733299998	2.64295697393	1.7947225853	43.80160794060001	40.0189363901	1
TCGA-AA-3667-01A-01R-0905-07	46.0037502186	8.48932806145	58.390547955	1.3139460449299998	19.603810744100002	2.4531575638900005	19.8883093243	1.56952694041	43.1621181979	2.10870671754	2.44742999796	29.258113597199998	21.883943236	1
TCGA-F4-6459-01A-11R-1774-07	36.5640463009	13.846183081800001	218.687579757	2.45371100191	18.2705209682	4.47030543171	50.9946622235	137.275256687	30.454772966900002	21.198195721199998	2.63751062125	36.1334636035	20.7078391282	1
TCGA-A6-6781-01A-22R-A278-07	38.412244185700004	24.9582884383	277.771471152	2.86674217598	42.5258618154	1.02378139848	16.7929918609	13.837355002699999	38.864710355999996	13.375256050399999	2.75312686197	4.13384691825	38.748773717199995	1
TCGA-DM-A1D0-01A-11R-A155-07	29.632942749899996	1.09960280866	14.471149622	2.46437463289	13.625597483800002	1.71165997544	2.97152118042	0.306667198425	40.6842993117	17.1212327001	1.4487728428	35.0103510101	27.3870429633	1
